Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
33399049,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",Hadley Wickham,"Wickham, Hadley",Garrett Grolemund,"=""""","=""""",5,4.60,O'Reilly Media,Kindle Edition,522,2016,2016,,2020/08/25,"nonfiction, science","nonfiction (#371), science (#224)",read,,,,1,,,0,,,,,
13839,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,"Pollan, Michael",,"=""0375760393""","=""9780375760396""",5,4.05,Random House Trade Paperbacks,Paperback,297,2002,2001,2020/08/30,2017/04/13,"kindle, biology, nonfiction, science, library","kindle (#194), biology (#76), nonfiction (#205), science (#158), library (#176)",read,,,,1,,,0,,,,,
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",0,4.06,Alfred A. Knopf,Hardcover,748,2008,2008,,2014/02/09,"fiction, kindle, currently-reading","fiction (#66), kindle (#80), currently-reading (#2)",currently-reading,,,,1,,,0,,,,,
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0375840400""","=""9780375840401""",3,3.99,Knopf Books for Young Readers,Paperback,704,2007,2005,2020/08/29,2014/02/09,"fiction, kindle","fiction (#68), kindle (#79)",read,,,,1,,,0,,,,,
49194298,The Nature of Nature: Why We Need the Wild,Enric Sala,"Sala, Enric","Charles, Prince of Wales, Edward O. Wilson","=""1426221010""","=""9781426221019""",0,4.50,National Geographic Society,Hardcover,256,2020,2020,,2020/08/29,"to-read, biology, learning, new, nonfiction, science","to-read (#542), biology (#116), learning (#112), new (#74), nonfiction (#374), science (#225)",to-read,,,,0,,,0,,,,,
38589832,Accessory to War: The Unspoken Alliance Between Astrophysics and the Military,Neil deGrasse Tyson,"Tyson, Neil deGrasse",Avis Lang,"=""0393064441""","=""9780393064445""",0,3.57,W. W. Norton  Company,Hardcover,576,2018,2018,,2018/09/10,"to-read, history, history-of-science, neil-degrasse-tyson, nonfiction, science, space, library","to-read (#463), history (#125), history-of-science (#69), neil-degrasse-tyson (#11), nonfiction (#278), science (#188), space (#52), library (#179)",to-read,,,,0,,,0,,,,,
7733,Gulliver's Travels,Jonathan Swift,"Swift, Jonathan",Robert DeMaria Jr.,"=""0141439491""","=""9780141439495""",0,3.57,Penguin,Paperback,306,2003,1726,,2015/01/05,"classics, highly-recommended, fiction, to-read, neil-degrasse-tyson, kindle","classics (#82), highly-recommended (#22), fiction (#230), to-read (#255), neil-degrasse-tyson (#3), kindle (#136)",to-read,,,,0,,,0,,,,,
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez","=""0937832383""","=""9780937832387""",0,3.82,Dante University of America Press,Paperback,140,2003,1532,,2015/01/05,"highly-recommended, to-read, neil-degrasse-tyson, classics, library, nonfiction","highly-recommended (#25), to-read (#257), neil-degrasse-tyson (#7), classics (#107), library (#178), nonfiction (#373)",to-read,,,,0,,,0,,,,,
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""1451666179""","=""9781451666175""",0,4.15,Gallery Books,Paperback,371,2013,2013,,2015/05/31,"nonfiction, humor, to-read, highly-recommended, library","nonfiction (#112), humor (#5), to-read (#308), highly-recommended (#37), library (#177)",to-read,,,,0,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,"=""""","=""""",5,3.92,Scribner,Paperback,200,2004,1925,2014/06/20,2014/02/09,"top-100-lifetime, fiction, made-into-movie, classics, kindle, bbc, banned, short-classics, favorites, want-to-own","top-100-lifetime (#1), fiction (#1), made-into-movie (#1), classics (#1), kindle (#23), bbc (#83), banned (#4), short-classics (#3), favorites (#2), want-to-own (#3)",read,,,,1,,,0,,,,,
