Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
51199750,"Some Assembly Required: Decoding Four Billion Years of Life, from Ancient Fossils to DNA",Neil Shubin,"Shubin, Neil",,"=""""","=""""",0,4.13,Pantheon,Hardcover,267,2020,2020,,2021/10/02,"biology, learning, library, new, nonfiction, review, science, currently-reading","biology (#128), learning (#97), library (#351), new (#87), nonfiction (#457), review (#137), science (#245), currently-reading (#2)",currently-reading,,,,1,,,0,,,,,
36373639,The Tangled Tree: A Radical New History of Life,David Quammen,"Quammen, David",,"=""1476776628""","=""9781476776620""",3,3.97,Simon  Schuster,Hardcover,480,2018,2018,2022/04/21,2021/12/29,"biology, history-of-science, library, nonfiction, science, history","biology (#135), history-of-science (#103), library (#362), nonfiction (#473), science (#254), history (#207)",read,,,,1,,,0,,,,,
57927106,"The Healing Power of Storytelling: Using Personal Narrative to Navigate Illness, Trauma, and Loss",Annie Brewster,"Brewster, Annie",Rachel Zimmerman,"=""1623176697""","=""9781623176693""",5,4.50,North Atlantic Books,Paperback,200,2022,,2022/04/20,2022/02/12,"new, nonfiction, psychology, science, self-help, st-thomas","new (#97), nonfiction (#481), psychology (#30), science (#261), self-help (#58), st-thomas (#82)",read,,,,1,,,0,,,,,
51070797,Between Two Kingdoms: A Memoir of a Life Interrupted,Suleika Jaouad,"Jaouad, Suleika",,"=""""","=""""",0,4.43,Random House,Kindle Edition,288,2021,2021,,2022/04/15,"to-read, biography, emotional, highly-recommended, library, new, nonfiction","to-read (#387), biography (#138), emotional (#59), highly-recommended (#120), library (#374), new (#99), nonfiction (#484)",to-read,,,,0,,,0,,,,,
58796563,Speed & Scale: A Global Action Plan for Solving Our Climate Crisis Now,John E. Doerr,"Doerr, John E.",,"=""""","=""""",4,4.32,,Kindle Edition,442,2021,2021,2022/04/09,2022/02/04,"climate-change, library, new, nonfiction, review","climate-change (#19), library (#370), new (#96), nonfiction (#479), review (#156)",read,,,,1,,,0,,,,,
30753841,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,"Nosrat, Samin","Wendy MacNaughton, Michael Pollan","=""1476753830""","=""9781476753836""",4,4.34,Simon  Schuster,Hardcover,480,2017,2017,2022/04/05,2021/12/25,"cooking, nonfiction, st-thomas","cooking (#9), nonfiction (#472), st-thomas (#79)",read,,,,1,,,0,,,,,
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,"=""0061053562""","=""9780061053566""",0,4.27,HarperPrism,Paperback,293,1997,1988,,2017/04/13,"fiction, kindle, science-fiction, currently-reading","fiction (#338), kindle (#223), science-fiction (#38), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
10235,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World",Tracy Kidder,"Kidder, Tracy",,"=""0812973011""","=""9780812973013""",5,4.16,Random House Trade,Paperback,333,2004,2003,2022/03/30,2014/02/09,"from-mike, audio, biography, library, nonfiction","from-mike (#5), audio (#39), biography (#104), library (#217), nonfiction (#364)",read,,,,1,,,0,,,,,
50887097,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,"Miller, Lulu",,"=""""","=""""",4,4.21,Simon  Schuster,Hardcover,225,2020,2020,2022/03/29,2022/01/07,"biography, biology, history, history-of-science, library, nonfiction, review, science, diversity","biography (#136), biology (#138), history (#203), history-of-science (#105), library (#366), nonfiction (#475), review (#151), science (#256), diversity (#62)",read,,,,1,,,0,,,,,
898885,Loving Frank,Nancy Horan,"Horan, Nancy",,"=""0345494997""","=""9780345494993""",2,3.76,Ballantine Books,Hardcover,362,2007,2007,2022/03/27,2022/03/17,"history, kindle, fiction, chick-lit","history (#206), kindle (#363), fiction (#570), chick-lit (#32)",read,,,,1,,,0,,,,,
