Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30231749,The Gulf: The Making of an American Sea,Jack Emerson Davis,"Davis, Jack Emerson",,"=""087140866X""","=""9780871408662""",0,4.22,Liveright,Hardcover,608,2017,2017,,2019/12/15,"to-read, biology, history, learning, nonfiction, ocean, recommended, science, award-winning, library, audio","to-read (#246), biology (#95), history (#142), learning (#47), nonfiction (#300), ocean (#64), recommended (#5), science (#191), award-winning (#77), library (#454), audio (#161)",to-read,,,,0,0
65656,"Dragon Sea: A True Tale of Treasure, Archeology, and Greed off the Coast of Vietnam",Frank Pope,"Pope, Frank",,"=""0151012075""","=""9780151012077""",0,3.69,Houghton Mifflin Harcourt,Hardcover,368,2007,2007,,2018/11/16,"to-read, diving, history, island, nonfiction, ocean, library, audio","to-read (#227), diving (#25), history (#122), island (#23), nonfiction (#252), ocean (#54), library (#505), audio (#160)",to-read,,,,0,0
32264,The Family that Couldn't Sleep,D.T. Max,"Max, D.T.",,"=""1400062454""","=""9781400062454""",0,3.93,Random House,Hardcover,336,2006,2006,,2017/01/01,"nonfiction, history-of-science, to-read, science, biology, library, audio","nonfiction (#151), history-of-science (#41), to-read (#179), science (#119), biology (#61), library (#507), audio (#159)",to-read,,,,0,0
54218,The Mismeasure of Man,Stephen Jay Gould,"Gould, Stephen Jay",,"=""0393314251""","=""9780393314250""",0,4.05,W. W. Norton & Company,Paperback,446,1996,1982,,2014/02/09,"to-read, biology, science, classics, history, history-of-science, nonfiction, philosophy, award-winning, library, audio","to-read (#51), biology (#6), science (#9), classics (#151), history (#169), history-of-science (#80), nonfiction (#378), philosophy (#49), award-winning (#97), library (#508), audio (#158)",to-read,,,,0,0
7640261,Sex at Dawn: The Prehistoric Origins of Modern Sexuality,Christopher  Ryan,"Ryan, Christopher",Cacilda Jethá,"=""""","=""9780061707803""",0,3.98,HarperCollins,Hardcover,416,2010,2010,,2023/02/27,"to-read, biology, diversity, highly-recommended, history, nonfiction, library","to-read (#278), biology (#154), diversity (#71), highly-recommended (#82), history (#216), nonfiction (#530), library (#506)",to-read,,,,0,0
20613666,"100 Essays I Don't Have Time to Write: On Umbrellas and Sword Fights, Parades and Dogs, Fire Alarms, Children, and Theater",Sarah Ruhl,"Ruhl, Sarah",,"=""0865478147""","=""9780865478145""",0,4.04,"Farrar, Straus and Giroux",Hardcover,240,2014,2012,,2014/12/02,"to-read, highly-recommended, nonfiction, library","to-read (#115), highly-recommended (#5), nonfiction (#19), library (#504)",to-read,,,,0,0
113429,No One Belongs Here More Than You,Miranda July,"July, Miranda",,"=""0743299396""","=""9780743299398""",0,3.80,Scribner,Hardcover,205,2007,2007,,2023/02/27,"to-read, fiction, highly-recommended, humor, short-stories, library, audio","to-read (#279), fiction (#602), highly-recommended (#83), humor (#42), short-stories (#21), library (#498), audio (#157)",to-read,,,,0,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.24,Pantheon,Paperback,412,2002,1988,,2023/03/10,"to-read, highly-recommended, learning, nonfiction, philosophy, psychology, library, audio","to-read (#281), highly-recommended (#84), learning (#68), nonfiction (#534), philosophy (#69), psychology (#40), library (#500), audio (#156)",to-read,,,,0,0
21913812,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697384""","=""9781451697384""",0,4.16,Simon & Schuster,Hardcover,576,2014,2014,,2021/10/09,"to-read, climate-change, highly-recommended, learning, nonfiction, review, library, audio","to-read (#264), climate-change (#14), highly-recommended (#77), learning (#59), nonfiction (#455), review (#130), library (#501), audio (#155)",to-read,,,,0,0
22163,The Wild Trees: A Story of Passion and Daring,Richard   Preston,"Preston, Richard",,"=""1400064899""","=""9781400064892""",0,4.11,Random House,Hardcover,294,2007,2007,,2017/10/26,"to-read, biology, highly-recommended, learning, nonfiction, science, library, audio","to-read (#209), biology (#68), highly-recommended (#64), learning (#27), nonfiction (#190), science (#146), library (#502), audio (#154)",to-read,,,,0,0
14376,Einstein’s Dreams,Alan Lightman,"Lightman, Alan",,"=""140007780X""","=""9781400077809""",0,4.06,Vintage,Paperback,140,2004,1993,,2015/07/23,"highly-recommended, nonfiction, science, to-read, library","highly-recommended (#17), nonfiction (#105), science (#92), to-read (#152), library (#503)",to-read,,,,0,0
7614750,Cyrus the Great: The Arts of Leadership and War,Xenophon,"Xenophon, Xenophon",,"=""142990531X""","=""9781429905312""",0,4.13,Truman Talley Books,ebook,320,2007,-360,,2015/08/16,"to-read, biography, highly-recommended, history, life-changing, nonfiction, library","to-read (#171), biography (#26), highly-recommended (#18), history (#58), life-changing (#14), nonfiction (#117), library (#499)",to-read,,,,0,0
199372731,Eruption,Michael Crichton,"Crichton, Michael",James Patterson,"=""0316565083""","=""9780316565080""",3,3.94,"Little, Brown and Company",ebook,432,2024,2024,2024/07/31,2024/07/29,"fiction, library, new, thriller","fiction (#621), library (#497), new (#160), thriller (#42)",read,,,,1,0
77920745,A Day in the Life of Abed Salama: Anatomy of a Jerusalem Tragedy,Nathan Thrall,"Thrall, Nathan",,"=""1250854970""","=""9781250854971""",0,4.34,Metropolitan Books,Hardcover,272,2023,2023,,2024/06/08,"audio, award-winning, diversity, emotional, highly-recommended, library, new, nonfiction, currently-reading","audio (#152), award-winning (#132), diversity (#88), emotional (#79), highly-recommended (#87), library (#487), new (#156), nonfiction (#592), currently-reading (#3)",currently-reading,,,,1,0
999346,"Naughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,"Blackman, Malorie",,"=""1416900160""","=""9781416900160""",3,4.19,Simon Schuster Books for Young Readers,Hardcover,387,2005,2001,2024/07/29,2015/09/26,"fiction, diversity, kindle, young-adult","fiction (#297), diversity (#94), kindle (#410), young-adult (#108)",read,,,,1,0
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Albert R. Hibbs, Ralph Leighton, Edward Hutchings","=""0393316041""","=""9780393316049""",0,4.27,W. W. Norton & Company,Paperback,391,1997,1985,,2014/02/09,"science, guestroom, biography, nonfiction, history, history-of-science, kindle, to-read","science (#2), guestroom (#2), biography (#10), nonfiction (#30), history (#23), history-of-science (#3), kindle (#180), to-read (#297)",to-read,,,,1,0
199798785,Challenger: A True Story of Heroism and Disaster on the Edge of Space,Adam Higginbotham,"Higginbotham, Adam",,"=""198217661X""","=""9781982176617""",0,4.62,Avid Reader Press / Simon & Schuster,Hardcover,576,2024,2024,,2024/05/15,"to-read, history, history-of-science, learning, new, nonfiction, science, space, library","to-read (#288), history (#242), history-of-science (#120), learning (#71), new (#153), nonfiction (#588), science (#296), space (#86), library (#496)",to-read,,,,0,0
